2024-07-06 12:47:13.773 [info] Reading sessions from keychain...
2024-07-06 12:47:13.773 [info] Getting sessions for read:user,repo,user:email,workflow...
2024-07-06 12:47:13.773 [info] Got 0 sessions for read:user,repo,user:email,workflow...
2024-07-06 12:53:00.938 [info] Getting sessions for all scopes...
2024-07-06 12:53:00.938 [info] Got 0 sessions for ...
2024-07-06 12:53:44.888 [info] Getting sessions for all scopes...
2024-07-06 12:53:44.889 [info] Got 0 sessions for ...
2024-07-06 12:53:45.285 [info] Getting sessions for all scopes...
2024-07-06 12:53:45.285 [info] Got 0 sessions for ...
2024-07-06 12:53:45.731 [info] Getting sessions for all scopes...
2024-07-06 12:53:45.731 [info] Got 0 sessions for ...
2024-07-06 12:53:46.391 [info] Getting sessions for all scopes...
2024-07-06 12:53:46.391 [info] Got 0 sessions for ...
